No.,Quantity,Comment,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Link
1,1,1K,1K,,,,,
2,1,1N4007,,1N4007,TWGMC(??),C727081,LCSC,
3,1,1uF,1uF,,,,,
4,1,2.54-1*20P??,,2.54-1*20P??,BOOMELE(????),C50981,LCSC,
5,1,4.7K,4.7K,,,,,
6,1,4.7uF,4.7uF,CL10A475KO8NNNC,SAMSUNG(??),C19666,LCSC,
7,1,5.1k?,5.1k?,0603WAF5101T5E,UNI-ROYAL(??),C23186,LCSC,
8,1,10K,10K,,,,,
9,1,10nF,10nF,CC0603KRX7R9BB103,YAGEO(??),C100042,LCSC,
10,1,10uF,10uF,CL10A106KP8NNNC,SAMSUNG(??),C19702,LCSC,
11,1,75?,75?,0603WAF750JT5E,UNI-ROYAL(??),C4275,LCSC,
12,1,100nF,100nF,,,,,
13,1,100nF,100nF,CC0603KRX7R9BB104,YAGEO(??),C14663,LCSC,
14,1,AMS1117-3.3,,AMS1117-3.3,AMS,C6186,LCSC,
15,1,AP2337SA-7,,AP2337SA-7,DIODES(??),C150497,LCSC,
16,1,KT-0603R,,KT-0603R,KENTO,C2286,LCSC,
17,1,KT-0805G,,KT-0805G,KENTO,C2297,LCSC,
18,1,LESD5D5.0CT1G,,LESD5D5.0CT1G,Leiditech(????),C5246195,LCSC,
19,1,PHD-2X5A,,PHD-2X5A,BOOMELE(????),C49123,LCSC,
20,1,STM32F072R8T6,,STM32F072R8T6,ST(?????),C87900,LCSC,
21,1,TS-1088-AR02016,,TS-1088-AR02016,XUNPU(??),C720477,LCSC,
22,1,TYPE-C-31-M-12,,TYPE-C-31-M-12,????,C165948,LCSC,
1,1,20PCS 1x20 20PIN Single Row Straight Male Pin Header Connector 2.54MM,,,,,AliExpress,https://www.aliexpress.us/item/2255800867206912.html?spm=a2g0o.productlist.main.2.67b3343blZdeDW&algo_pvid=fce8f059-4a77-4f24-a568-f8072836e520&algo_exp_id=fce8f059-4a77-4f24-a568-f8072836e520-1&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.57%212.07%21%21%212.57%212.07%21%402101df0e17697332133454531e793e%2110000013819372129%21sea%21US%216823042453%21X%211%210%21n_tag%3A-29911%3Bd%3Ac7b91fd3%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&curPageLogUid=1C9KdUhcsMNX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001053521664%7C_p_origin_prod%3A
